Setting,Metric_File,BLEU1,BLEU2,BLEU3,BLEU4,ROUGE,Recall
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_05_05,metrics_20260315_230244.json,0.3304,0.182,0.1143,0.0764,0.2833,0.2924
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_05_05,metrics_20260316_003709.json,0.3316,0.1829,0.1154,0.0772,0.284,0.2921
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_07_03_0314,metrics_20260315_185413.json,0.3291,0.1809,0.1139,0.0765,0.2819,0.2896
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_07_03_0314,metrics_20260315_200859.json,0.3336,0.1834,0.1155,0.0775,0.2835,0.2919
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_07_03_0314,metrics_20260315_210953.json,0.3297,0.1815,0.1144,0.0768,0.2819,0.2927
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_rouge_04_04_02_0314,metrics_20260315_185208.json,0.3416,0.1884,0.1185,0.0794,0.2862,0.2903
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_rouge_04_04_02_0314,metrics_20260315_201131.json,0.3426,0.1899,0.1197,0.0805,0.2848,0.2868
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_rouge_04_04_02_0314,metrics_20260315_210912.json,0.341,0.1882,0.1185,0.0795,0.2848,0.2864
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_rouge_04_04_02_alldata_0315_checkpoint1100,metrics_20260317_014622.json,0.3437,0.1889,0.1185,0.0793,0.2899,0.2871
evaluate_internvl2_5_how2sign_1b_bleu1_bleu4_rouge_04_04_02_alldata_0315_checkpoint1100,metrics_20260317_024154.json,0.3437,0.1897,0.1194,0.0799,0.2896,0.288
evaluate_internvl2_5_how2sign_1b_bleu1_rouge_0314,metrics_20260315_230641.json,0.3422,0.1885,0.119,0.0801,0.285,0.2889
evaluate_internvl2_5_how2sign_1b_bleu1_rouge_0314,metrics_20260316_002938.json,0.3414,0.1893,0.1194,0.0803,0.2858,0.2871
evaluate_internvl2_5_how2sign_1b_bleu1_rouge_alldata_0315_checkpoint1100,metrics_20260316_190641.json,0.3485,0.1913,0.1205,0.0808,0.2885,0.2909
evaluate_internvl2_5_how2sign_1b_bleu1_rouge_alldata_0315_checkpoint1100,metrics_20260316_200136.json,0.3465,0.1905,0.12,0.0806,0.2875,0.2903
evaluate_internvl2_5_how2sign_1b_bleu1_rouge_alldata_0315_checkpoint1100,metrics_20260316_211543.json,0.3466,0.1905,0.1196,0.0801,0.2866,0.2904
evaluate_internvl2_5_how2sign_1b_bleu1_rouge_alldata_0315_checkpoint1100,metrics_20260316_222232.json,0.3466,0.1905,0.1201,0.0806,0.2878,0.2908
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_05_05_0316,metrics_20260316_123939.json,0.3351,0.1856,0.118,0.08,0.2862,0.2769
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_05_05_0316,metrics_20260316_132857.json,0.3325,0.1827,0.1156,0.0783,0.2851,0.2753
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_05_05_0316,metrics_20260316_143543.json,0.3319,0.1841,0.1175,0.0798,0.2867,0.2769
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_07_03_0314,metrics_20260315_214619.json,0.3343,0.185,0.118,0.0804,0.2869,0.2794
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_07_03_0314,metrics_20260315_224730.json,0.3345,0.1847,0.1179,0.0806,0.2864,0.2782
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_07_03_0314,metrics_20260315_234147.json,0.3361,0.1864,0.1189,0.081,0.2871,0.2813
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_07_03_checkpoint400_0314,metrics_20260315_225144.json,0.3341,0.1852,0.118,0.0802,0.2861,0.2804
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_07_03_checkpoint400_0314,metrics_20260315_234149.json,0.3381,0.1875,0.1196,0.0815,0.2878,0.2817
evaluate_internvl2_5_how2sign_1b_bleu4_rouge_07_03_checkpoint400_0314,metrics_20260316_003711.json,0.3349,0.1851,0.1171,0.0789,0.287,0.2801
evaluate_internvl2_5_how2sign_1b_firsttry,metrics_20260315_185523.json,0.3416,0.1907,0.1215,0.0821,0.288,0.2987
evaluate_internvl2_5_how2sign_1b_firsttry,metrics_20260315_200853.json,0.3405,0.1882,0.1192,0.0801,0.2888,0.2983
evaluate_internvl2_5_how2sign_1b_firsttry,metrics_20260315_211004.json,0.3397,0.1882,0.1193,0.0803,0.2874,0.2973
